ld8,H_all1,H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all9,H_all10,H_all11,H_all12,H_all13
11667_20180629,1.32579764635104,1.60065472936776,1.36857520139681,1.48858782932617,1.53685770489322,1.54303052883687,1.46735887215915,1.55405862738744,1.371486112864,1.524788831192,1.16589645945189,1.31631933267074,1.49649255461132
11668_20210419,1.35514787189776,1.41897598915199,1.28901035108573,1.20045727460397,1.41587214806464,1.42157342848024,1.43924174128402,1.52392075786546,1.55238907224888,1.48266490746578,1.25665569787952,1.51208525347651,1.31154784983254
11669_20180712,1.29850716686227,1.54411438036689,1.38613690512489,1.56450849106389,1.73360857459692,1.52653024869663,1.65985997174633,1.51818008285721,1.28005895797467,1.46246934961953,1.44542955621806,1.49364726875057,1.49329237102624
11670_20180713,1.20447563684641,1.22613059043163,1.22378691425992,1.38332075691421,1.20033666832603,1.24879079700976,1.37072257638952,1.22447948293292,1.13585886917769,1.24720953273542,1.23164620754147,1.28670991629416,1.21341512388969
11670_20200116,1.49967077252638,1.34075428222046,1.47381512553828,1.45871681076852,1.4437812839574,1.60371537483082,1.40124914553456,1.31322114948393,1.26923357576209,1.3890097414177,1.4967028110276,1.39613590992005,1.52770557641293
11670_20210927,1.52986165556369,1.4975663027679,1.34548144131098,1.51932276246431,1.34474251557732,1.19361264185799,1.47096163139003,1.44186695813785,1.29245578090731,1.37248099676569,1.3649330026816,1.36639527289361,1.41124926627758
11672_20180816,1.30842951827159,1.30663566859606,1.53612170679707,1.44992055859002,1.37073586642681,1.46470869229207,1.36494295982695,1.63441955559211,1.40748885544003,1.31602687540789,1.37171026841334,1.3976286599586,1.40250199320277
11673_20180730,1.49764071468949,1.26614712144628,1.26493193196607,1.16018218958057,1.10316452897703,1.27122700492489,1.20280171214933,1.14726273214823,1.25111379960981,1.31433946141657,1.1296954073645,1.38818224272078,1.17832598079304
11673_20200123,1.55532574376262,1.40586408627957,1.56525851462369,1.36576678784573,1.53469677812145,1.49891390350507,1.33345249857004,1.44000618569517,1.25363298750083,1.46409835546035,1.31971398977898,1.4841167704918,1.46100135349781
11673_20210809,1.63272869036719,1.54353162648047,1.53249974321222,1.45300098265238,1.42579309377831,1.28103321467652,1.30185678989284,1.33316097739653,1.30004327128678,1.47628405372062,1.40352532053267,1.39622578224563,1.59147691591447
11674_20180802,1.68791614431167,1.5404867008348,1.32330112416653,1.39628963738982,1.49960757884607,1.43162517419846,1.61570936199315,1.50402494117345,1.61104484884158,1.54735106698107,1.23561803838105,1.35451506157844,1.31259040223077
11674_20200109,1.44311425761524,1.4641462666352,1.25017582944455,1.26412869412933,1.43383993282813,1.54403487915653,1.3628147901302,1.35588160041067,1.45028910725669,1.54879293074174,1.31225750974978,1.1958239387688,1.49722553315377
11674_20210730,1.6273793585481,1.38584630860096,1.41540812608466,1.38719062983055,1.31660372766469,1.32986739396777,1.20714822050891,1.46704519497448,1.31940031452013,1.34609069289483,1.45426128243981,1.59032987413874,1.50696924008856
11675_20180730,1.50883371283727,1.35411928185173,1.27357103747264,1.14408769112123,1.147835041362,1.29813435234533,1.21737714175919,1.19455492994201,1.25198008086589,1.19937347717999,1.11599790986892,1.29333187890818,1.19298639580679
11675_20200103,1.39571788821326,1.35266936548013,1.29717924891511,1.54795239899078,1.46754761119455,1.43691485663495,1.34253277322004,1.34220365516186,1.47406454494002,1.34612691713564,1.46482006174117,1.54449267993415,1.39268336870288
11676_20180803,1.44220907151329,1.49582161990323,0.930468307475033,1.40116256958048,1.42735123165365,1.34356740980094,1.31597437818325,1.33492522101482,1.26789661521253,1.21577592422867,1.32254205194477,1.38735141667459,1.38075708504419
11678_20180913,1.26887610235504,1.53074852103444,1.0228376172064,1.14803787234869,1.41240389601649,1.43017482289411,1.50424779451632,1.27971509448561,1.63598101388742,1.49015665690926,1.24902070080115,1.41002512143003,1.34704681275816
11680_20180816,1.38116501208845,1.57319516286727,1.36029903213412,1.48659682533282,1.35406444536499,1.48968136696366,1.37675690728041,1.47609805751424,1.52837264622648,1.30228164177137,1.44264549642015,1.47921352249979,1.24448868328254
11681_20180921,0.941663721375358,0.930397835683801,1.15899286305602,1.27026648678801,1.11466043647341,1.02530159087144,1.18333725705146,1.15436031481175,1.16785141816897,1.21568852916508,0.824002543217555,1.09036664981906,1.39399474403996
11682_20180907,1.56283249986816,1.41696249193226,1.49162648166619,1.36032856424749,1.54016760465968,1.44426889108403,1.29823707804505,1.47263183466205,1.34799571651583,1.380677546845,1.4054096733652,1.46897522706927,1.50830064681874
11682_20200309,1.44389944129344,1.3932644281886,1.24253565473424,1.21949733741013,1.42859481229374,1.49156809723882,1.30719059792112,1.03700303757912,1.2162045562088,1.36381726822421,1.34158707747706,1.45431253097866,1.22844007682783
11682_20211001,1.4731443548253,1.35951938109702,1.35063675160718,1.44120131748107,1.4279317905245,1.51399024853291,1.28087489901317,1.38372228538252,1.28733419241829,1.50097626009508,1.44097153487781,1.4136087182605,1.48007824528708
