"subj","date","run","ASCor","ASErrCor","ASErr","Dropped","total","AScor.lat","ASErrCor.lat","ASErr.lat"
11821,20200928,1,1,37,5,5,48,174,151.459459459459,254.4
11822,20201007,1,32,15,1,0,48,388.21875,236.2,366
11822,20220613,1,18,23,1,6,48,277.5,174.869565217391,152
11823,20201106,1,6,2,6,34,48,254,422,345.166666666667
11823,20220322,1,27,17,1,3,48,328.222222222222,189.235294117647,228
11834,20210124,1,20,28,0,0,48,328,169.428571428571,NA
11863,20210205,1,11,33,0,4,48,416,201.515151515152,NA
11865,20210303,1,7,25,1,15,48,392.857142857143,188.4,182
11865,20220706,1,8,6,0,34,48,315.25,253,NA
11867,20210401,1,2,33,5,8,48,389.5,178.181818181818,262
11867,20220707,1,2,21,3,22,48,345.5,142.714285714286,174.666666666667
11864,20210217,1,15,21,3,9,48,323.933333333333,168.714285714286,201.666666666667
11868,20211006,1,16,10,0,22,48,286.25,146.1,NA
11869,20211007,1,21,14,1,12,48,237.428571428571,170.428571428571,156
11870,20211020,1,30,18,0,0,48,365.633333333333,161.555555555556,NA
11871,20211103,1,36,10,0,2,48,269.833333333333,145.4,NA
11872,20211123,1,27,18,0,3,48,320.111111111111,209,NA
11873,20211208,1,14,32,1,1,48,449.428571428571,169.59375,602
11875,20220331,1,22,17,6,3,48,287.727272727273,199.941176470588,182.666666666667
11561,20220913,1,34,7,0,7,48,265.147058823529,177.857142857143,NA
11765,20220928,1,38,8,0,2,48,291.078947368421,157.75,NA
11770,20220914,1,25,19,0,4,48,184.56,135.947368421053,NA
11793,20220830,1,0,5,2,41,48,NA,175.4,173
11810,20220907,1,10,8,8,22,48,250.6,158.875,146.625
11898,20221027,1,24,16,1,7,48,303.833333333333,186.0625,142
