"trial" "xdat" "lat" "fstCorrect" "ErrCorr" "AS" "Count" "Desc" "ld8"
"279" 39 134 243 TRUE FALSE "AS" 1 "" "10644.20180206"
"280" 40 134 175 TRUE FALSE "AS" 1 "" "10644.20180206"
"281" 41 132 272 TRUE FALSE "AS" 1 "" "10644.20180206"
"282" 42 131 196 TRUE FALSE "AS" 1 "" "10644.20180206"
"283" 43 133 235 TRUE FALSE "AS" 1 "" "10644.20180206"
"284" 44 131 218 TRUE FALSE "AS" 1 "" "10644.20180206"
"285" 45 132 208 TRUE FALSE "AS" 1 "" "10644.20180206"
"286" 46 134 NA FALSE FALSE "AS" -1 "moving (12.118 px/60Hz) before target onset" "10644.20180206"
"287" 47 131 221 TRUE FALSE "AS" 1 "" "10644.20180206"
"288" 48 133 257 TRUE FALSE "AS" 1 "" "10644.20180206"
"289" 1 132 216 TRUE FALSE "AS" 1 "" "10997.20200221"
"290" 2 131 277 TRUE FALSE "AS" 1 "" "10997.20200221"
"291" 3 131 216 TRUE FALSE "AS" 1 "" "10997.20200221"
"292" 4 134 630 TRUE FALSE "AS" 1 "" "10997.20200221"
"293" 5 132 186 TRUE FALSE "AS" 1 "" "10997.20200221"
"294" 6 132 184 TRUE FALSE "AS" 1 "" "10997.20200221"
"295" 7 133 159 TRUE FALSE "AS" 1 "" "10997.20200221"
"296" 8 131 334 TRUE FALSE "AS" 1 "" "10997.20200221"
"297" 9 132 NA FALSE FALSE "AS" -1 "no saccades (getSacs)" "10997.20200221"
"298" 10 133 262 TRUE FALSE "AS" 1 "" "10997.20200221"
"299" 11 131 521 TRUE FALSE "AS" 1 "" "10997.20200221"
"300" 12 131 196 TRUE FALSE "AS" 1 "" "10997.20200221"
"301" 13 134 NA FALSE FALSE "AS" -1 "average fixpos(67.125000) is off from baseline(130.500000)!" "10997.20200221"
"302" 14 132 181 TRUE FALSE "AS" 1 "" "10997.20200221"
"303" 15 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10997.20200221"
